id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12305665,★ Old Town Herberghaus ★ 250m to Charles Bridge,45197409,Tamara,,Praha 1,50.08426,14.41597,Entire home/apt,2338,2,187,2019-09-26,4.52,5,335
12312489,Kate's STAR WARS apartment,38264143,Katka,,Praha 8,50.09161,14.44698,Entire home/apt,1394,2,181,2019-09-11,4.35,4,339
12316926,Lovely private bedroom,66439376,Anna,,Praha 5,50.07175,14.37638,Private room,992,1,0,,,1,0
12318326,Cosy flat in beatiful area where all is close.,21444575,Palo,,Praha 10,50.07527,14.45094,Entire home/apt,850,10,10,2019-07-23,0.27,1,353
12320837,Classy and Elegant Place,3442289,Kam,,Praha 2,50.07357,14.44398,Private room,638,3,3,2016-05-16,0.07,1,0
12323079,Studio near National Theatre,66485558,Lenka,,Praha 2,50.07583,14.41529,Entire home/apt,1323,1,90,2018-01-02,2.15,1,0
12332584,Duplex 2 - Family/friendly flat close to center,783726,Mathieu,,Praha 3,50.08471,14.45124,Entire home/apt,992,3,203,2019-09-23,4.91,3,61
12333347,Apartmán v centru Prahy,66565489,EA Hotel,,Praha 1,50.08195,14.42551,Entire home/apt,2456,1,14,2017-09-24,0.34,1,346
12334701,Comfortable living close to center up to 8 people,29939483,Dagmar,,Praha 10,50.07303,14.47221,Entire home/apt,898,1,157,2019-09-29,4.31,1,59
12334904,Sunny and designed 2 bdr. 120 m2 apt.,22784723,Simona & Pavel,,Praha 2,50.07731,14.41744,Entire home/apt,4889,2,213,2019-09-26,5.06,1,132
12336908,Modern Two-Rooms Apartment Close To City Center,66591987,,,Praha 7,50.10198,14.4495,Entire home/apt,1110,3,64,2019-09-27,1.62,1,5
12338983,Prague B Bunker,2227448,Alla And Sergiy,,Praha 2,50.07159,14.43483,Entire home/apt,1157,1,129,2019-09-22,3.09,2,64
12341930,Spacious Apartment in Prague's Diplomatic Quarter,66627593,Branislav,,Troja,50.11784,14.42005,Entire home/apt,2504,2,26,2018-08-07,0.63,1,179
12349970,Apartment Lea,3763896,Evgeny,,Praha 1,50.07997,14.41456,Entire home/apt,1559,2,64,2019-08-16,1.53,12,286
12352034,Stylish & Bright Flat Near Downtown,66180334,Jiri And Kate,,Praha 6,50.09908,14.39976,Entire home/apt,992,1,231,2019-09-27,5.60,1,310
12352476,New! Apartment near the center of Prague!,21042550,Lenka,,Praha 6,50.10963,14.39669,Entire home/apt,1110,1,227,2019-09-24,5.43,1,285
12353858,"Central, Walkable, Luxury, Near Tram/Metro, Wifi",32128404,AtTheTower,,Praha 1,50.08542,14.42956,Entire home/apt,4393,2,128,2019-08-16,3.21,4,144
12355333,"Quiet, Cosy Ap. with Terrace close to City Centre",66729420,Alena,,Praha 3,50.08229,14.48114,Entire home/apt,1606,3,94,2019-09-16,3.02,1,24
12357874,Waterfront Apartment in Prague 5,66746513,Mirka,,Praha 5,50.07157,14.40945,Entire home/apt,1370,1,80,2018-08-26,1.92,1,241
12361424,Bright room near Old Town Square,17914449,Paul,,Praha 1,50.09037,14.42604,Private room,992,2,256,2019-09-16,6.09,3,117
12364174,DOWNTOWN air-conditioning 2 BDR apartments,30623692,Irina,,Praha 2,50.07608,14.42344,Entire home/apt,3637,1,65,2019-09-01,1.59,13,327
12364812,DOWNTOWN modern 2BDR apartments,30623692,Irina,,Praha 2,50.07519,14.42323,Entire home/apt,4369,1,63,2019-07-08,1.55,13,31
12370319,Borivojova apartment 12,4815291,Jan & Anna,,Praha 3,50.08265,14.45314,Entire home/apt,2078,2,5,2018-09-20,0.15,9,0
12372372,Beautiful and spacious apartment in the center,66856716,Igor,,Praha 2,50.07638,14.41668,Entire home/apt,1205,3,69,2019-09-12,2.31,1,68
12373572,Quadrio room,66201215,Královský,,Praha 2,50.07178,14.44278,Private room,2315,2,0,,,3,288
12377472,Wonderful Apt. walk to Old Town Sq.,5463516,Zuzana,,Praha 1,50.0823,14.42073,Entire home/apt,1771,2,232,2019-09-21,5.55,66,49
12395278,Family Suite next to Charles Bridge - 95m2,33392985,Dagmar,,Praha 1,50.08151,14.40416,Entire home/apt,3732,1,3,2018-03-15,0.07,5,360
12396448,*Cozy apartment in a great locality,7257603,Ivan,,Praha 7,50.10071,14.41973,Entire home/apt,898,2,9,2018-09-14,0.22,1,250
12397256,TOP STUDIO APARTMENTS in Prague Centre,61488015,Vinohradský,,Praha 2,50.07452,14.43016,Entire home/apt,2574,2,1,2019-08-24,0.79,5,356
12400310,Ruterra By Golden Lady's 3BDR Loft,227945,Alex And Kate,,Praha 1,50.07895,14.42514,Entire home/apt,3614,2,186,2019-08-28,4.45,101,109
12401610,Luxury Old Town Apartment,33706546,Eva,,Praha 1,50.0911,14.42465,Entire home/apt,1512,3,68,2019-09-17,1.73,3,0
12403725,Private room  in walking distance to Prag's center,67070850,Pavel,,Praha 3,50.08175,14.44664,Private room,709,1,16,2019-07-17,0.44,2,148
12405645,New apartment near to city center,45530906,Natalia,,Praha 8,50.09029,14.44015,Entire home/apt,898,2,78,2019-09-28,1.86,2,324
12416680,Greg Apartments Kampa XI Prague,22325529,Michal,,Praha 1,50.08145,14.40659,Entire home/apt,1771,2,16,2019-02-25,0.42,5,212
12417469,Cosy room/app in the heart of Letná,67162806,Irena,,Praha 7,50.10103,14.42912,Private room,992,1,10,2016-09-25,0.24,1,0
12417633,Greg Apartments Kampa XI Prague,22325529,Michal,,Praha 1,50.08149,14.40651,Entire home/apt,2315,2,10,2018-11-20,0.36,5,229
12418196,2 rooms apartment in a hipster area,5630514,Eliška,,Praha 7,50.09871,14.43156,Entire home/apt,1016,2,31,2018-08-12,0.75,1,0
12419875,Apartment 1/26 in the Center for 6,62077828,Daniel,,Praha 2,50.07399,14.43543,Entire home/apt,2716,2,1,2019-08-03,0.51,25,0
12420065,Apartment 4/26 in the Center for 6,62077828,Daniel,,Praha 2,50.07278,14.43726,Entire home/apt,2716,2,2,2016-06-18,0.05,25,0
12420130,Apartment 7/26 in the Center for 6,62077828,Daniel,,Praha 2,50.07342,14.43707,Entire home/apt,2716,2,6,2019-08-13,0.14,25,0
12420178,Apartment 10/26 in the Center for 6,62077828,Daniel,,Praha 2,50.0742,14.43542,Entire home/apt,2574,2,15,2019-08-12,0.36,25,0
12420235,Apartment 2/26 in the Center for 5,62077828,Daniel,,Praha 2,50.07382,14.43567,Entire home/apt,2197,2,11,2019-08-05,0.27,25,0
12420350,Apartment 5/26 in the Center for 5,62077828,Daniel,,Praha 2,50.07361,14.43736,Entire home/apt,2126,3,3,2018-08-11,0.08,25,0
12420385,Apartment 8/26 in the Center for 5,62077828,Daniel,,Praha 2,50.07394,14.43685,Entire home/apt,2551,2,9,2018-08-12,0.22,25,0
12420468,Apartment 3/26 in the Center for 5,62077828,Daniel,,Praha 2,50.07213,14.43544,Entire home/apt,2456,2,3,2018-08-08,0.07,25,0
12420523,Apartment 6/26 in the Center for 5,62077828,Daniel,,Praha 2,50.07363,14.43507,Entire home/apt,2078,3,8,2019-08-14,0.19,25,0
12420562,Aparment 9/26 in the Center for 5,62077828,Daniel,,Praha 2,50.0737,14.43659,Entire home/apt,2551,3,5,2018-08-20,0.12,25,0
12420617,Apartment 12/26 in the Center for 5,62077828,Daniel,,Praha 2,50.07322,14.43647,Entire home/apt,2551,3,2,2018-08-12,0.09,25,0
12420664,Apartment 1/24 in the Center for 3,62077828,Daniel,,Praha 2,50.07371,14.43689,Entire home/apt,2456,2,1,2016-12-29,0.03,25,0
12420745,Apartment 3/24 in the Center for 4,62077828,Daniel,,Praha 2,50.074,14.43717,Entire home/apt,2574,3,0,,,25,0
12420790,Apartment 5/24 in the Center for 4,62077828,Daniel,,Praha 2,50.07378,14.4359,Entire home/apt,3094,3,2,2016-12-31,0.05,25,0
12420826,Apartment 7/24 in the Center for 3,62077828,Daniel,,Praha 2,50.07383,14.43517,Entire home/apt,2197,3,0,,,25,0
12420869,Apartment 2/24 in the Center for 6,62077828,Daniel,,Praha 2,50.07406,14.43694,Entire home/apt,3094,3,5,2019-08-11,0.12,25,0
12421041,Apartment 4/24 in the Center for 6,62077828,Daniel,,Praha 2,50.07327,14.43684,Entire home/apt,3094,2,4,2017-08-21,0.14,25,0
12421080,Apartment 6/24 in the Center for 6,62077828,Daniel,,Praha 2,50.07188,14.4351,Entire home/apt,3236,2,6,2018-04-29,0.14,25,0
12421117,Apartment 8/24 in the Center for 6,62077828,Daniel,,Praha 2,50.0731,14.43673,Entire home/apt,3094,2,3,2017-08-14,0.09,25,0
12430103,Near Prague Castle cozy studio,16646675,Jana,,Praha 6,50.09924,14.39099,Entire home/apt,590,60,9,2019-06-15,0.23,6,41
12437035,"Prague home: lovely, family-friendly",2480636,Davıd,,Praha 6,50.10024,14.40006,Entire home/apt,1512,2,20,2019-09-18,0.57,1,350
12440176,Cozy room between two lovely parks,67301152,Filip,,Praha 7,50.10147,14.41826,Private room,496,1,155,2018-08-03,3.73,1,0
12443881,Apartment for up to 3 adults No11,49529301,Irina,,Praha 3,50.08557,14.45315,Entire home/apt,1086,3,0,,,12,163
12444314,Apartment AISHA,47722088,Petr,,Praha 10,50.07085,14.49387,Entire home/apt,1275,2,4,2019-07-28,0.20,2,254
12459502,Luxusní bydlení nedaleko od metra C,54078583,Petr,,Praha 8,50.12338,14.47529,Entire home/apt,3354,4,0,,,1,0
